experiment_location,year_sampled,month_sampled,experiment_duration_years,co2_ambient_mean,co2_increased_mean,co2_ambient_n,co2_increased_n,depth_range_cm,source_citation,source_description,value_adjustment
SwissFACE- clover - high N,1999,May,6,2758.61,3153.07,3,3,0-10 ,Van Kessel et al. 2006,pers. comm.,
SwissFACE- clover - high N,2000,May,7,2630.05,2434.38,3,3,0-10 ,Van Kessel et al. 2006,pers. comm.,
SwissFACE- clover - high N,2001,May,8,3528.47,3571.56,3,3,0-10 ,Van Kessel et al. 2006,pers. comm.,
SwissFACE- clover - high N,2002,May,9,3209,3456.1,3,3,0-10 ,Van Kessel et al. 2006,pers. comm.,
SwissFACE- clover - high N,2003,May,10,2993.06,3235.6,3,3,0-10 ,Van Kessel et al. 2006,pers. comm.,
Swiss Greenhouse,,,0,1280,1280,2,2,0-20 ,Körner and Arnone 1992,table 4,
Swiss Greenhouse,,,0,1205,980,2,2,0-20 ,Körner and Arnone 1992,table 4,
Tallgrass Prairie,1992,Nov,2,2985.3,2859.75,3,3,0-5 ,Rice et al. 1994,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
Tallgrass Prairie,1996,Oct,8,2180.85,2371.5,3,3,0-5 ,Williams et al. 2000,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
UMBS - aspen,1991,May,0,296.55,296.55,4,4,0-15 ,Zak et al. 1993,table 2,assumed bulk density: 1.0 g/cm3
UMBS - aspen,1991,Oct,0,241.5,289.5,4,4,0-15 ,Zak et al. 1993,table 2,assumed bulk density: 1.0 g/cm3
"WSL - loam, low N",1995,Jan,0,1290,1290,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, low N",1998,,3,1317.02,1471.39,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, high N",1995,Jan,0,1290,1290,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, high N",1998,,3,1481.53,1546.91,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, low N",1995,Jan,0,1310,1310,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, low N",1998,,3,1166.84,1214.15,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, high N",1995,Jan,0,1310,1310,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, high N",1998,,3,1120.17,1183.43,4,4,0-10 ,Hagedorn et al. 2001,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
